DATE: Fri, 07 Aug 2015 00:00:04 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,22.600000381469727,43.900001525878906
00:01:02,22.600000381469727,44.400001525878906
00:02:02,22.600000381469727,43.900001525878906
00:03:01,22.600000381469727,43.900001525878906
00:04:01,22.5,43.900001525878906
00:05:02,22.5,43.79999923706055
00:06:01,22.5,44.0
00:07:02,22.5,44.0
00:08:02,22.5,44.099998474121094
00:09:02,22.5,44.099998474121094
00:10:02,22.5,44.099998474121094
00:11:02,22.5,44.20000076293945
00:12:02,22.399999618530273,43.900001525878906
00:13:01,22.5,44.099998474121094
00:14:01,22.5,44.400001525878906
00:15:02,22.5,43.900001525878906
00:16:02,22.5,43.79999923706055
00:17:02,22.5,43.79999923706055
00:18:02,22.5,43.70000076293945
00:19:02,22.5,43.79999923706055
00:20:01,22.5,43.70000076293945
00:21:01,22.5,43.79999923706055
00:22:02,22.5,43.79999923706055
00:23:02,22.5,43.70000076293945
00:24:02,22.5,43.70000076293945
00:25:02,22.399999618530273,43.70000076293945
00:26:01,22.5,43.79999923706055
00:27:02,22.399999618530273,43.79999923706055
00:28:01,22.399999618530273,43.79999923706055
00:29:01,22.399999618530273,43.70000076293945
00:30:02,22.5,43.900001525878906
00:31:01,22.399999618530273,43.70000076293945
00:32:02,22.399999618530273,43.79999923706055
00:33:02,22.399999618530273,43.79999923706055
00:34:01,22.399999618530273,43.79999923706055
00:35:01,22.399999618530273,43.79999923706055
00:36:02,22.399999618530273,43.79999923706055
00:37:02,22.399999618530273,43.79999923706055
00:38:02,22.399999618530273,43.79999923706055
00:39:02,22.399999618530273,43.79999923706055
00:40:02,22.399999618530273,43.79999923706055
00:41:02,22.299999237060547,43.79999923706055
00:42:02,22.399999618530273,43.79999923706055
00:43:02,22.399999618530273,43.900001525878906
00:44:01,22.299999237060547,43.79999923706055
00:45:02,22.399999618530273,43.79999923706055
00:46:02,22.399999618530273,43.900001525878906
00:47:02,22.299999237060547,43.900001525878906
00:48:01,22.399999618530273,43.900001525878906
00:49:01,22.399999618530273,43.900001525878906
00:50:02,22.299999237060547,43.900001525878906
00:51:02,22.399999618530273,44.0
00:52:02,22.299999237060547,44.099998474121094
00:53:02,22.200000762939453,44.0
00:54:01,22.299999237060547,44.20000076293945
00:55:01,22.200000762939453,44.099998474121094
00:56:01,22.200000762939453,44.099998474121094
00:57:01,22.200000762939453,44.20000076293945
00:58:02,22.200000762939453,44.20000076293945
00:59:01,22.200000762939453,44.20000076293945
01:00:01,22.200000762939453,44.20000076293945
01:01:01,22.100000381469727,44.29999923706055
01:02:02,22.100000381469727,44.400001525878906
01:03:02,22.100000381469727,43.599998474121094
01:04:01,22.100000381469727,44.400001525878906
01:05:02,22.100000381469727,44.400001525878906
01:06:02,22.100000381469727,44.5
01:07:01,22.100000381469727,44.5
01:08:01,22.100000381469727,44.400001525878906
01:09:01,22.0,44.29999923706055
01:10:02,22.0,44.400001525878906
01:11:02,22.0,44.400001525878906
01:12:02,22.0,44.400001525878906
01:13:02,22.0,44.400001525878906
01:14:01,22.0,44.400001525878906
01:15:01,22.0,44.400001525878906
01:16:01,22.0,44.400001525878906
01:17:02,22.0,44.400001525878906
01:18:02,22.0,44.400001525878906
01:19:02,22.0,44.400001525878906
01:20:02,22.0,44.400001525878906
01:21:02,22.0,44.400001525878906
01:22:02,21.899999618530273,44.5
01:23:02,21.899999618530273,44.400001525878906
01:24:01,21.899999618530273,44.5
01:25:01,21.899999618530273,44.5
